kbo_player_id,player_name,birth_date,professional_entry_year,official_join,official_draft,source_url,level,role,verified_through
51302,이주형,2002-07-05,2021,21키움,21 키움 2차 4라운드 39순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51302,futures,hitting,2025
51344,김휘집,2002-01-01,2021,21키움,21 키움 2차 1라운드 9순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51344,first_team,hitting,2025
51344,김휘집,2002-01-01,2021,21키움,21 키움 2차 1라운드 9순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51344,futures,hitting,2025
51407,이창용,1999-06-03,2021,24삼성,21 삼성 2차 8라운드 73순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51407,first_team,hitting,2025
51407,이창용,1999-06-03,2021,24삼성,21 삼성 2차 8라운드 73순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51407,futures,hitting,2025
51454,이승현,2002-05-19,2021,21삼성,21 삼성 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51454,first_team,pitching,2025
51454,이승현,2002-05-19,2021,21삼성,21 삼성 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51454,futures,pitching,2025
51460,이재희,2001-10-11,2021,21삼성,21 삼성 2차 1라운드 3순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51460,first_team,pitching,2025
51460,이재희,2001-10-11,2021,21삼성,21 삼성 2차 1라운드 3순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51460,futures,pitching,2025
51516,김진욱,2002-07-05,2021,21롯데,21 롯데 2차 1라운드 1순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51516,first_team,pitching,2025
51516,김진욱,2002-07-05,2021,21롯데,21 롯데 2차 1라운드 1순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51516,futures,pitching,2025
51526,우강훈,2002-10-03,2021,23롯데,21 롯데 2차 5라운드 41순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51526,first_team,pitching,2025
51526,우강훈,2002-10-03,2021,23롯데,21 롯데 2차 5라운드 41순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51526,futures,pitching,2025
51528,손성빈,2002-01-14,2021,21롯데,21 롯데 1차,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51528,first_team,hitting,2025
51528,손성빈,2002-01-14,2021,21롯데,21 롯데 1차,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51528,futures,hitting,2025
51546,정우준,2000-03-17,2021,21롯데,21 롯데 2차 6라운드 51순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51546,first_team,pitching,2025
